user_id,KC1,KC2,KC3,KC4,KC5,KC6,score_rate,is_test
170,0.08587039,0.0077618193,0.026096463,0.121401146,0.02585645,0.1215832,0.125,True
171,0.08433779,0.013926627,0.012469314,0.39990276,0.025856573,0.059329025,0.125,True
172,0.1692139,0.007434181,0.017051362,0.23277014,0.025979219,0.12176668,0.15625,True
173,0.16935842,0.011909014,0.017111104,0.23268774,0.026124757,0.121741,0.15625,True
174,0.083805226,0.003026258,0.005194242,0.11631806,0.025756154,0.0576905,0.0625,True
175,0.16936752,0.010223394,0.026041051,0.4030511,0.026230851,0.06143032,0.1875,True
176,0.043005407,0.009070142,0.025585238,0.40243995,0.025802122,0.061140444,0.125,True
177,0.16706915,0.004452229,0.006289607,0.117129534,0.025771778,0.1184513,0.09375,True
178,0.8377624,0.06336913,0.08740242,0.23196319,0.062022883,0.11902052,0.375,True
179,0.6964637,0.6046418,0.50429815,0.23318508,0.4051299,0.23023273,0.5,True
180,0.838141,0.40532306,0.17111416,0.4042038,0.12366693,0.40079603,0.53125,True
181,0.6964873,0.063724406,0.04621338,0.60421365,0.063604005,0.060925875,0.40625,True
182,0.041406307,0.0041488274,0.0031091047,0.11620632,0.025761105,0.057580724,0.03125,True
183,0.31331778,0.12371892,0.045925505,0.6040449,0.12354033,0.12063107,0.34375,True
184,0.92121106,0.23480159,0.0154004935,0.6033826,0.23470482,0.11893809,0.4375,True
185,0.83810055,0.23480229,0.086165875,0.23299211,0.40519768,0.399846,0.5,True
186,0.92125297,0.6046477,0.08852555,0.60425484,0.23470624,0.12109456,0.53125,True
187,0.96353585,0.40532196,0.17161983,0.4049016,0.12364057,0.23209174,0.5,True
188,0.6964562,0.123744234,0.08842078,0.60414493,0.123573594,0.23184182,0.40625,True
189,0.69633746,0.4053059,0.1709792,0.23022678,0.12267454,0.11898399,0.40625,True
190,0.6958452,0.019545149,0.024388678,0.23264566,0.06150558,0.11897034,0.3125,True
191,0.50458527,0.03243337,0.040201053,0.6031109,0.12322233,0.058645323,0.34375,True
192,0.838083,0.123746835,0.08776801,0.23311657,0.40503937,0.11907073,0.40625,True
193,0.5044229,0.12170529,0.084527895,0.60270077,0.12254813,0.11875604,0.34375,True
194,0.69645137,0.40530857,0.08693324,0.60338444,0.123658866,0.2300095,0.4375,True
195,0.6963896,0.03418699,0.088214755,0.6041696,0.06334229,0.23193863,0.40625,True
196,0.31330428,0.7751463,0.17147695,0.60295737,0.12328558,0.23147291,0.40625,True
197,0.50490123,0.06369178,0.0884186,0.60420066,0.1235879,0.06091073,0.40625,True
198,0.5033806,0.23460034,0.02284297,0.1168535,0.11859333,0.11804068,0.28125,True
199,0.83802056,0.020914651,0.02550488,0.23231253,0.06312708,0.058978736,0.34375,True
200,0.6963995,0.06355834,0.046018973,0.60409445,0.123396784,0.120754935,0.375,True
201,0.08421914,0.027668605,0.009428604,0.22742742,0.055319034,0.11776214,0.125,True
202,0.8381296,0.12376983,0.026183937,0.40480268,0.40517098,0.12083003,0.40625,True
203,0.5047567,0.12326276,0.08510687,0.6033305,0.23446448,0.11895991,0.375,True
204,0.50480294,0.40516332,0.021777678,0.6031775,0.40513426,0.058607306,0.375,True
205,0.50488603,0.6045334,0.6964203,0.8859931,0.23455785,0.6028203,0.59375,True
206,0.8381358,0.40532094,0.17161418,0.40487605,0.23467134,0.12102625,0.4375,True
207,0.31316283,0.4053012,0.045310736,0.40081853,0.06251189,0.23013212,0.34375,True
208,0.5047064,0.063341886,0.045691308,0.6039119,0.23411262,0.060426548,0.34375,True
209,0.5047302,0.23478548,0.044718497,0.22920975,0.06251816,0.22943568,0.34375,True
210,0.16940315,0.06202349,0.02122052,0.11672162,0.11707144,0.05791201,0.21875,True
211,0.311383,0.058847792,0.0191281,0.39930314,0.058272824,0.22894944,0.25,True
212,0.50465745,0.06363434,0.023043308,0.22895327,0.06250162,0.118125066,0.3125,True
